conda environment activated
/home2/codepk37

Running config: emb_dim=256, depth=4, heads=4, mlp_dim=1024
Epoch 1: Accuracy=0.4595
Epoch 2: Accuracy=0.5261
Epoch 3: Accuracy=0.5405
Epoch 4: Accuracy=0.5587
Epoch 5: Accuracy=0.5929
Epoch 6: Accuracy=0.5986
Epoch 7: Accuracy=0.6160
Epoch 8: Accuracy=0.6047
Epoch 9: Accuracy=0.6110
Epoch 10: Accuracy=0.6165
Epoch 11: Accuracy=0.6039
Epoch 12: Accuracy=0.6142
Epoch 13: Accuracy=0.6073
Epoch 14: Accuracy=0.6131
Epoch 15: Accuracy=0.6110
Epoch 16: Accuracy=0.6011
Epoch 17: Accuracy=0.6059
Epoch 18: Accuracy=0.6170
Epoch 19: Accuracy=0.6082
Epoch 20: Accuracy=0.6072
Epoch 21: Accuracy=0.6075
Epoch 22: Accuracy=0.6157
Epoch 23: Accuracy=0.6021
Epoch 24: Accuracy=0.6081
Epoch 25: Accuracy=0.5929
Epoch 26: Accuracy=0.6130
Epoch 27: Accuracy=0.6013
Epoch 28: Accuracy=0.6064
Epoch 29: Accuracy=0.6051
Epoch 30: Accuracy=0.6089
Epoch 31: Accuracy=0.6150
Epoch 32: Accuracy=0.6123
Epoch 33: Accuracy=0.6081
Epoch 34: Accuracy=0.6020
Epoch 35: Accuracy=0.6090
Epoch 36: Accuracy=0.6077
Epoch 37: Accuracy=0.6077
Epoch 38: Accuracy=0.6152
Epoch 39: Accuracy=0.6138
Epoch 40: Accuracy=0.6096
Epoch 41: Accuracy=0.6101
Epoch 42: Accuracy=0.6052
Epoch 43: Accuracy=0.6144
Epoch 44: Accuracy=0.6125
Epoch 45: Accuracy=0.6034
Epoch 46: Accuracy=0.6150
Epoch 47: Accuracy=0.6147
Epoch 48: Accuracy=0.6141
Epoch 49: Accuracy=0.6087
Epoch 50: Accuracy=0.6148

Running config: emb_dim=256, depth=4, heads=4, mlp_dim=768
Epoch 1: Accuracy=0.4569
Epoch 2: Accuracy=0.5275
Epoch 3: Accuracy=0.5516
Epoch 4: Accuracy=0.5841
Epoch 5: Accuracy=0.5949
Epoch 6: Accuracy=0.6054
Epoch 7: Accuracy=0.6155
Epoch 8: Accuracy=0.6174
Epoch 9: Accuracy=0.6245
Epoch 10: Accuracy=0.6242
Epoch 11: Accuracy=0.6202
